Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
0000184e7cd53cee95af32eba49c44e4d20adcd8,f538e6b729d1aaad4230e9dcd9dc2fd9a168826ddadbd67c2f79331875dc586863d73aa3169fb266dc5e5ed6cdc8687537de8071a51556146f5251d4d8e8237f,01/19/2024 05:00:00 PM,01/19/2024 06:00:00 PM,4051,17.12,17031980000,17031320100,76,32,45.50,10.00,0.00,4.00,60.00,Credit Card,Flash Cab,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918)
000072ee076c9038868e239ca54185eb43959db0,e51e2c30caec952b40b8329a68b498e18ce8a1f40fa75c71e425e9426db562ac617b0a28e1c69f5c579048f75a43a2dc066c17448ab65f5016acca10558df3ed,01/28/2024 02:30:00 PM,01/28/2024 03:00:00 PM,1749,12.7,,,6,,33.75,0.00,0.00,0.00,33.75,Cash,Flash Cab,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),,,
000074019d598c2b1d6e77fbae79e40b0461a2fc,aeb280ef3be3e27e081eb6e76027615b0d40925b84d3eb1301a01293a34c41ec45fe1ff1ceeb0e769565af1573d216d5a6c8bbc260b9f8a8db9be4ef74d31c78,01/05/2024 09:00:00 AM,01/05/2024 09:00:00 AM,517,3.39,,,6,8,10.91,2.78,0.00,1.00,14.69,Mobile,Taxicab Insurance Agency Llc,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
00007572c5f92e2ff067e6f838a5ad74e83665d3,7d21c2ca227db8f27dda96612bfe5520ab408fa9a462c8ca4c73a22c362b8022ac8e0f5538c9b820dc3a6be61e06f215654909a3b02770ddf84631e948479436,01/22/2024 08:45:00 AM,01/22/2024 09:30:00 AM,2050,15.06,,,76,,39.25,11.31,0.00,5.50,56.56,Credit Card,Globe Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
00007c3e7546e2c7d15168586943a9c22c3856cf,8ef1056519939d511d24008e394f83e925d2539d668a002c97c441c1d24ab86e29b31a6d8544356006c1eee49dda811760c872d4ddcbaffd55a681b17864a014,01/18/2024 07:15:00 PM,01/18/2024 07:30:00 PM,1004,1.18,17031839100,17031839100,32,32,15.94,3.72,0.00,0.00,19.66,Mobile,5 Star Taxi,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707)
0000bab44d0d673a222e7f1a0a6026563519aa25,833e49f9757b594a8a6765b93d1f7d8ad483e61c3a89d1a808ef40a33940ccaac349d4aec1e6415a079b1bc3a13f186b5af03683e52ed789153e97a3d59557a8,01/09/2024 05:00:00 PM,01/09/2024 05:00:00 PM,12,0.18,,,3,6,3.50,0.00,0.00,0.00,3.50,Cash,Taxicab Insurance Agency Llc,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
0000cf293ada965f89a98c8ccfae7b0ce3a03e41,37073e8c9e454886fe4a916f80a9a3478570e7dd3e663f40c5b81eae90f8f611027c67455f43b426f4c34dcb7fdb6697c82a3c6d00237f11a4a6cf5b1d1ce0c7,01/04/2024 07:15:00 AM,01/04/2024 07:30:00 AM,484,1.59,17031281900,17031320100,28,32,7.75,1.24,0.00,0.00,9.49,Mobile,City Service,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918)
0001235258d46a21317b6691ade9386c4d7e02c4,715b091e1001d1c17938c3b5ed7e23d926c53150ee2d0fac31336b49a14b7f17096d5ab25747e024765899ddc7653b9155ef9b956b8d179066cfe3e2cc16ec0d,01/25/2024 11:15:00 AM,01/25/2024 11:30:00 AM,1686,13.01,17031320100,17031980100,32,56,34.25,7.95,0.00,5.00,47.70,Credit Card,Chicago Independents,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.785998518,-87.750934289,POINT (-87.7509342894 41.785998518)
00012902ec577e1a25815a527b4204782daa98c8,4628ef9dfa973bdfe877c5aa9d9738f9dc1204e54f2f1a4cc18141f37e2e66d080533f82510a96d1525b28eee833696f7e1337e9999a38f2fd5babf71585a344,01/09/2024 03:15:00 PM,01/09/2024 03:30:00 PM,1047,3.02,17031330100,17031081500,33,8,11.08,2.00,0.00,0.00,13.08,Mobile,Chicago Independents,41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809)
00012d162a043f81c15d07cd9117032f2b96cf11,31760477ea8a53823f828158e65e02b57866ed72ce86b787f04095517f2a60b3012b7c7b8fb629d45e3ecf5128493f6a9917ac213ecff770c57bbccb7848569e,01/20/2024 04:00:00 PM,01/20/2024 04:45:00 PM,2503,16.48,17031980000,17031081500,76,8,42.00,0.00,0.00,4.00,46.00,Cash,Taxicab Insurance Agency Llc,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809)
